9589,-618,972,4535,-23469,-18799
12504,-1121,426,5613,-25120,-14868
15898,-2331,-759,5911,-24241,-12635
20196,-4132,-627,4534,-17031,-10806
20408,-6153,-604,4143,-10967,-7670
16268,-6886,-966,4176,-7663,-5416
14745,-7675,-2309,4137,-8658,-4653
16438,-6684,-1807,5234,-7640,-4314
15982,-5936,-2013,5099,-6769,-3599
17312,-5405,-2104,4728,-4782,-2841
17692,-4573,-2402,4834,-1156,-2647
16890,-4474,-1969,4798,1632,-3685
16347,-4847,-726,3769,2205,-4455
16625,-5744,-5,2756,1355,-4104
17681,-5048,267,1659,1144,-2817
18801,-4148,-342,670,2271,-983
19618,-3509,-710,-756,4650,817
19625,-3683,-1485,-2134,8093,3322
18575,-3826,-2920,-2932,10705,6118
18077,-3972,-3410,-2632,12441,8705
16233,-3877,-4265,-933,11882,11758
14470,-4272,-5021,2645,7176,15102
16169,-4828,-4840,5988,5465,18107
17396,-4625,-3723,8739,11070,21613
16498,-3128,-2454,8625,20706,25454
12072,-3944,-1484,6203,31006,28781
6672,-6814,-1335,5978,32767,31486
1785,-6943,-1068,6435,32767,32640
349,-8904,-338,5253,32767,32767
-198,-11504,133,6132,32767,32767
-11240,-6353,3973,21323,32767,32767
-15284,-4600,6328,27288,28531,32767
-17452,-3743,8413,32243,16788,32767
-14985,-2025,8180,32767,7549,32767
-7702,-1259,7583,32767,3198,31740
-3271,-1824,7352,32767,6381,25302
-13191,-1485,7896,32767,8645,24182
-28060,10074,7671,32767,1386,16592
-28817,11675,4824,32767,-13891,9156
-18692,8613,8902,32767,-18351,5118
-26656,11661,12599,32767,-12590,2095
-31595,17091,11665,32767,-16884,-2884
-26059,21096,9365,23500,-20097,-9623
-22679,16431,11764,9772,-15120,-14807
-25999,13728,12564,3411,-12903,-19114
-25926,11648,10652,-820,-14428,-23098
-25420,11892,10090,-5257,-14551,-26636
-27384,12165,10109,-9507,-14018,-29911
-31121,12384,8983,-11639,-15336,-32269
-31335,12642,6228,-15177,-16308,-32768
-32718,8638,6358,-14036,-15774,-32768
-32768,9904,10464,-5867,-19821,-32768
-28281,15024,12265,-5354,-24773,-32768
-19825,14461,15763,-12568,-19932,-32768
-17891,11622,18577,-20516,-7136,-32768
-20894,6228,16975,-24541,4379,-32768
-25280,2206,11651,-23377,1807,-32768
-19201,1608,7955,-19313,-8042,-32768
-10178,4381,4447,-14742,-13905,-32768
-1610,7320,798,-12599,-12576,-32768
5626,7776,-1076,-11998,-5748,-32768
9186,5484,-1267,-10115,-22,-32739
8764,2278,515,-6393,2208,-28046
7542,1296,2674,-3184,2117,-22594
6540,-190,3680,-1044,138,-18600
6034,-2837,4491,1020,-3937,-16220
6650,-4719,5940,2017,-7988,-14208
9568,-5303,6300,2089,-9060,-12515
11498,-5602,5401,1356,-6747,-11815
9939,-7845,4680,1919,-6385,-11510
10340,-8586,4607,3243,-8812,-11628
12321,-8583,4249,4732,-11784,-11494
12972,-6800,3709,5812,-14764,-10750
16218,-4022,847,4605,-20359,-9504
17965,-4850,1624,4828,-6937,-6489
15498,-4940,505,4778,-8278,-5513
16996,-5285,761,5354,-9155,-4833
17946,-5080,636,5944,-7700,-3973
17429,-4412,332,6469,-6116,-2942
17793,-3699,463,6962,-4979,-1557
18412,-3544,625,7071,-2816,356
17240,-3951,1397,7744,-1250,2575
15914,-3696,2091,8441,-1430,4418
15677,-3611,2499,8138,-1223,6411
15167,-4860,2546,7250,-588,9315
15780,-5364,2823,6882,-786,12902
16684,-3143,2826,5407,-1878,17257
18048,-3084,2616,2372,-1747,22573
18800,-5399,1506,617,313,29293
16135,-6700,-268,-217,6424,32760
9333,-7936,-1379,76,10077,32767
4063,-8966,-2032,2094,9324,32767
1388,-11711,-1065,5880,4787,32767
686,-12828,-530,10482,718,32767
1872,-11499,-53,13386,565,32767
1817,-10108,577,16743,2606,32767
1005,-8110,3094,22193,4853,32767
621,-3975,3347,24813,9416,32767
-3380,1119,914,21732,11817,32767
-10234,6877,1488,18816,9398,32767
-16600,9007,7348,15683,8197,32767
-18741,8425,8501,15452,10036,32767
-22401,11865,1914,11695,1991,32767
-19424,12350,4720,950,-2908,32767
-10378,10146,10712,-3507,17528,32767
-19473,11096,5945,-5862,32767,32767
-32044,11718,3577,-8709,29705,32767
-32507,10676,4754,-13109,15529,30821
-24943,8588,5688,-15879,12457,24679
-19337,8396,6914,-16783,22808,19632
-28892,10365,7227,-16268,32156,12402
-32768,14211,4697,-18541,26843,135
-32763,11586,4656,-22206,21900,-9750
-31529,4740,7658,-20678,18291,-16392
-31624,1314,10134,-15076,11776,-22086
-32498,4060,11351,-10854,3679,-28156
-32749,7287,11896,-10136,-2584,-32354
-32768,9004,11020,-11627,-8882,-32768
-32706,8247,10119,-13957,-10936,-32768
-32768,6733,8491,-13613,-11063,-32768
-32768,6220,5568,-11212,-9841,-32768
-32768,6458,2315,-8175,-11509,-32768
-32569,7873,-713,-4936,-15596,-32768
-25196,7936,-2803,-2945,-18917,-32768
-16680,7623,-2544,-627,-19426,-32768
-11491,9397,-3710,731,-21322,-32768
