,mean_accel1,mean_accel2,mean_accel3,mean_gyro1,mean_gyro2,mean_gyro3,max_accel1,max_accel2,max_accel3,max_gyro1,max_gyro2,max_gyro3,min_accel1,min_accel2,min_accel3,min_gyro1,min_gyro2,min_gyro3,median_accel1,median_accel2,median_accel3,median_gyro1,median_gyro2,median_gyro3,std_accel1,std_accel2,std_accel3,std_gyro1,std_gyro2,std_gyro3,no_peaks_accel1,no_peaks_accel2,no_peaks_accel3,no_peaks_gyro1,no_peaks_gyro2,no_peaks_gyro3,recurring_dp_accel1,recurring_dp_accel2,recurring_dp_accel3,recurring_dp_gyro1,recurring_dp_gyro2,recurring_dp_gyro3,var_coeff_accel1,var_coeff_accel2,var_coeff_accel3,var_coeff_gyro1,var_coeff_gyro2,var_coeff_gyro3,kurtosis_accel1,kurtosis_accel2,kurtosis_accel3,kurtosis_gyro1,kurtosis_gyro2,kurtosis_gyro3,tag
1159,0.20606130823075067,0.2396813902968863,0.1839729664494328,0.2055032585083273,0.014466568569808456,4.0,0.04,0.07020516706420482,-0.4248681019475482,0.6443271440104327,0.6918586598770415,0.5708253120536546,0.6449729864000496,0.025523173282447697,5.0,0.08,0.03961213417703606,1.3827801687407684,0.5422268549227707,0.6134748412773618,0.5085757604472662,0.5356770586563063,0.024079679708689787,4.0,0.1,0.044408865938813484,1.7915490789772024,0.3990396659707723,0.4446764091858037,0.3298538622129436,0.40709812108559496,0.025225600262423813,2.0,0.76,0.06321577129696039,0.9465928695582342,0.4430136986301369,0.4794520547945206,0.4006849315068493,0.4486301369863014,0.018804582154407917,0.0,0.84,0.04244695415187935,-0.2072209342125824,0.4608695652173913,0.5167224080267558,0.4264214046822742,0.4523411371237458,0.025065768458263183,1.0,0.6,0.05438798816415597,-0.9121427550535496,2.0
1161,0.20631040308954865,0.2396813902968863,0.18064204682597151,0.2056963552980932,0.013667693189099087,5.0,0.12,0.06624820166323195,0.12210279365513088,0.6388635657951934,0.6945289697571881,0.5636216854002359,0.6438862323790597,0.02983668311678576,4.0,0.04,0.046702746430136534,0.6634185938420187,0.5550497488865725,0.7283236994219653,0.5085757604472662,0.5364351369278879,0.05413187193592308,3.0,0.08,0.0975261623746545,4.399516791096215,0.3962839248434238,0.4446764091858037,0.29436325678496866,0.40709812108559496,0.032801713728079065,2.0,0.68,0.08277326349041132,2.0488093642252947,0.4221232876712329,0.4554794520547945,0.3219178082191781,0.4315068493150685,0.037395064916243614,0.0,0.8,0.08858801683874032,0.9629066272042586,0.4662207357859531,0.5167224080267558,0.403010033444816,0.4648829431438127,0.02498531464296957,2.0,0.62,0.05359116985830634,-0.4822631794679464,2.0
1162,0.21076418054549845,0.2705286024619841,0.18064204682597151,0.20675838764180546,0.01916449764403529,4.0,0.16,0.0909286274092394,1.1900365102107582,0.6226106936595666,0.6945289697571881,0.4753151586660871,0.6390734645718188,0.04444099192479968,4.0,0.04,0.07137845908746837,2.1895042397954385,0.5704652705391831,0.7283236994219653,0.5085757604472662,0.5377617739031555,0.06903233452251467,4.0,0.04,0.12101058221698195,0.3091310888103553,0.4044258872651357,0.4634655532359081,0.29436325678496866,0.41127348643006256,0.036847545937851514,2.0,0.52,0.09111075007346103,1.7883678812164217,0.4186986301369863,0.4554794520547945,0.3219178082191781,0.4315068493150685,0.040065917257091375,0.0,0.8,0.09569154129781353,-0.16175183695674766,0.4582943143812708,0.5167224080267558,0.3511705685618729,0.4648829431438127,0.037853873503216916,2.0,0.52,0.08259730115640268,0.893025456318755,2.0
1163,0.22117982138546946,0.3492155442915761,0.18064204682597151,0.20675838764180546,0.03912955986535256,4.0,0.12,0.17691288301186409,3.1672061485652647,0.6036415574737627,0.6945289697571881,0.4233372663478855,0.63879401353785,0.07097454594199905,3.0,0.04,0.11757730239618892,0.8026598156311162,0.5737629110205628,0.7283236994219653,0.4726618023310907,0.5390410309864493,0.07096851386682472,3.0,0.0,0.12368961552532512,-0.1710704528298721,0.4167432150313152,0.5427974947807932,0.29436325678496866,0.4154488517745302,0.047901996059236285,2.0,0.46,0.11494367354159996,1.4944557410691417,0.4268493150684932,0.5787671232876712,0.3219178082191781,0.4434931506849315,0.05096534795022002,0.0,0.72,0.11939892170622787,1.060523497095362,0.4457190635451505,0.5167224080267558,0.3511705685618729,0.4523411371237458,0.04644280876725082,1.0,0.42,0.10419749246948297,-0.4797878860222724,2.0
1164,0.234025585324644,0.3617668356263577,0.18064204682597151,0.21127202510258267,0.05182665800203732,5.0,0.12,0.22145723054230404,0.4233677164830008,0.5701682916226789,0.6945289697571881,0.2411351922002111,0.6300068310252748,0.11194054100984177,3.0,0.04,0.19632894823256994,1.0957705665011632,0.5632578413721218,0.7283236994219653,0.3910736283521273,0.5388041315265801,0.08326435486834582,3.0,0.0,0.14782635722480145,-0.2492110929873181,0.4282672233820459,0.5427974947807932,0.29436325678496866,0.4164926931106471,0.05686475114947592,3.0,0.42,0.13277866725455284,0.320342699528144,0.4506849315068493,0.7465753424657534,0.3219178082191781,0.4434931506849315,0.09586349915900053,0.0,0.62,0.2127062443345604,2.6411047061621344,0.4294648829431437,0.5167224080267558,0.30936454849498324,0.4431438127090301,0.05598655214709754,2.0,0.34,0.13036351601886276,-0.7304481934821512,2.0
1165,0.2337832488534878,0.3617668356263577,0.1543326092203717,0.2128409365194304,0.053338897762902605,4.0,0.08,0.2281553448524883,0.19646509520636046,0.5288467987331553,0.6945289697571881,0.19257281251940636,0.5887722784574303,0.14887624380419326,2.0,0.0,0.2815110995487239,-0.2889596411028248,0.5538728323699421,0.7283236994219653,0.3910736283521273,0.5350137401686725,0.0909915074077899,2.0,0.0,0.16428230830252194,-0.5796012650933555,0.4436325678496867,0.5845511482254697,0.29436325678496866,0.4269311064718162,0.06938302725982654,3.0,0.36,0.15639750615273842,-0.2227507270915292,0.4826712328767123,0.7945205479452054,0.3219178082191781,0.4434931506849315,0.13612987421358286,0.0,0.54,0.28203436405822474,0.19404112816926575,0.4073578595317725,0.5167224080267558,0.20903010033444813,0.43645484949832775,0.07498727534923037,2.0,0.3,0.1840820634599334,-0.044130471680890786,2.0
1166,0.2335891865797731,0.3617668356263577,0.1390296886314265,0.21518223509534154,0.05588629009581324,3.0,0.0,0.2392503305230163,-0.08181729436025176,0.5129429298888405,0.6945289697571881,0.19257281251940636,0.5592125690865055,0.1444587503832698,2.0,0.0,0.2816273350615737,-0.43672503589105816,0.5634056666350801,0.7283236994219653,0.3910736283521273,0.5407940869894816,0.095843326305704,2.0,0.0,0.17011423913807044,-1.0052527800716011,0.4470146137787056,0.5845511482254697,0.29436325678496866,0.4352818371607515,0.07006984617504518,3.0,0.36,0.1567506833450712,-0.3073711671050177,0.4952739726027397,0.7945205479452054,0.3219178082191781,0.4434931506849315,0.13979129888296069,1.0,0.44,0.2822504444324749,-0.4468957412870411,0.3918394648829432,0.5167224080267558,0.18896321070234112,0.4130434782608695,0.08588576667654757,2.0,0.2,0.21918610648931144,-0.4171789185549599,2.0
1167,0.2433840212406469,0.3617668356263577,0.1390296886314265,0.23212647839729664,0.0563451016552799,4.0,0.0,0.2315069878789145,-0.5832545756172496,0.4956666459665901,0.6945289697571881,0.19257281251940636,0.5317642675277898,0.14154545574243876,3.0,0.0,0.28556582714258216,-0.5948717666887093,0.5709902397422535,0.7283236994219653,0.3910736283521273,0.5632995356770587,0.09690766651334592,2.0,0.0,0.1697186042218345,-1.1223271249244957,0.43912317327766176,0.5845511482254697,0.2797494780793319,0.4352818371607515,0.07790342235203554,2.0,0.32,0.17740676669499394,-0.6439856933078958,0.4865068493150684,0.7945205479452054,0.226027397260274,0.4280821917808219,0.14748057748597834,1.0,0.36,0.3031418318027995,-0.4943358642889901,0.4092642140468228,0.6989966555183946,0.18896321070234112,0.4130434782608695,0.11028719559210606,2.0,0.12,0.26947676294875955,0.1883705758388028,2.0
1169,0.2706830798937968,0.4693700217233888,0.1390296886314265,0.25399468983828144,0.08070183712838823,3.0,0.0,0.29814141748369266,0.04600840906804127,0.40838477302366016,0.6945289697571881,0.13885611376762091,0.4361299136806806,0.1689722778280617,1.0,0.0,0.4137575369840543,-1.3364739202121751,0.5681872453330806,0.7283236994219653,0.3910736283521273,0.5761868662939449,0.10306447669884523,2.0,0.0,0.18139174637478386,-1.333260806364626,0.4405845511482254,0.5845511482254697,0.2797494780793319,0.4551148225469728,0.0823319794214125,1.0,0.26,0.18686987368677307,-0.900624744688904,0.4731506849315068,0.7945205479452054,0.2089041095890411,0.4246575342465754,0.16334770662462136,1.0,0.24,0.3452340064735773,-0.7819436267918216,0.4225418060200669,0.6989966555183946,0.18896321070234112,0.38628762541806017,0.1320860404147995,2.0,0.18,0.3125987500714346,-0.452819447062017,2.0
1170,0.28259328988655563,0.4693700217233888,0.1390296886314265,0.2711078928312817,0.07914298887643452,3.0,0.0,0.2800596889905126,-0.13903779181708575,0.3631112215115195,0.6257219151710861,0.13885611376762091,0.3618269887598584,0.15267630930829426,2.0,0.0,0.4204670642585763,-1.5644609155666651,0.5615123661518051,0.7283236994219653,0.3910736283521273,0.559793423670994,0.10435105011960366,2.0,0.04,0.18583927338012052,-1.4031547589285989,0.4562421711899791,0.5845511482254697,0.2797494780793319,0.4624217118997912,0.07921671667301293,2.0,0.32,0.1736286596795698,-0.6455120857638033,0.4993150684931507,0.7945205479452054,0.2089041095890411,0.4828767123287671,0.16616048736806968,1.0,0.16,0.3327768334120463,-1.1179090115569363,0.40290969899665546,0.6989966555183946,0.18896321070234112,0.3612040133779264,0.13654433831950133,2.0,0.18,0.3388956350753789,-0.31883289765486555,2.0
