mean_x,mean_y,mean_z,max_x,max_y,max_z,min_x,min_y,min_z,median_x,median_y,median_z,gradient_x,gradient_y,gradient_z,std_x,std_y,std_z,skew_x,skew_y,skew_z,iqr_x,iqr_y,iqr_z,zero_crossing_counts_x,zero_crossing_counts_y,zero_crossing_counts_z,dominant_frequency_x,dominant_frequency_y,dominant_frequency_z,tag
12.320800000000002,19.61,-4.04,14.469999999999999,-0.1727999999999999,7.356009744419864,13.0675,-0.5552692314630479,8.0,0.0,-0.8405999999999998,10.79,-14.94,-0.5700000000000001,-0.0559,5.077141877080056,4.8325,-0.37086093521555474,18.0,0.08,-3.4612,19.61,-19.61,-4.205,0.23209999999999995,11.014407045320233,13.965,0.3629005552691775,28.0,0.28,1.0
12.409,19.61,-1.76,13.725,0.17849999999999988,6.944947587995174,12.7025,-0.5112566342374656,6.0,0.0,-0.4554000000000001,10.79,-14.94,-0.41500000000000004,0.024199999999999947,4.714764982477917,3.81,-0.5076084809628246,18.0,0.08,-3.9529999999999994,19.61,-19.61,-4.205,-0.1642000000000001,10.652340071552354,14.3025,0.2736209559942316,28.0,0.28,1.0
12.016999999999998,19.61,-1.76,13.065,-0.3281,6.670012968503134,11.315000000000001,-0.48284887027537665,6.0,0.0,-0.31620000000000004,10.79,-14.94,-0.195,-0.25980000000000003,4.281432419179357,3.21,-0.47879770704327657,21.0,0.44,-3.79,19.61,-19.61,-3.73,0.4711999999999999,10.48427050395019,14.0375,0.24501763057052167,27.0,0.28,1.0
11.1898,19.61,-1.76,12.985,-0.12989999999999996,7.002909535328869,14.247500000000002,-0.3355416735109291,6.0,0.0,-0.44880000000000003,10.79,-14.94,-0.275,-0.0810000000000001,3.898028034788872,3.28,-0.8015227015628676,24.0,0.44,-2.7916,19.61,-19.61,-3.6799999999999997,0.36900000000000005,11.2506279575853,14.52,0.25129408904107503,28.0,0.28,1.0
10.9784,19.61,-1.76,12.555,0.6583999999999999,6.741028514996803,12.97,-0.3477589891650918,5.0,0.0,0.10660000000000001,12.03,-14.94,0.435,0.42619999999999997,3.894204724972738,3.1075,-0.8367029782966275,23.0,0.28,-2.8167999999999993,19.61,-19.61,-3.73,-0.7864,11.196545081407924,14.52,0.36537511412880075,27.0,0.28,1.0
11.277200000000002,19.61,-1.17,12.705,0.04669999999999994,6.605329072801748,13.387500000000001,-0.3260034662830639,2.0,0.0,0.5670000000000001,12.03,-11.95,0.645,0.03450000000000003,3.4987193371289442,2.9850000000000003,-0.42941863321838,25.0,0.28,-3.5312000000000006,19.61,-19.61,-5.8,0.04930000000000014,11.28771502829514,14.81,0.39098810221753805,28.0,0.28,1.0
11.3762,19.61,-3.61,13.02,-0.037599999999999995,6.697642238877798,11.542499999999999,-0.4259740361216324,4.0,0.0,0.2836000000000001,12.03,-11.95,0.645,0.05390000000000004,3.9064284250450565,3.455,-0.6823946120568755,21.0,0.28,-3.5088000000000004,19.61,-19.61,-5.8,0.2609000000000001,11.54314023825406,15.1075,0.46001919818627485,28.0,0.28,1.0
11.075600000000001,19.61,-3.61,11.84,0.05319999999999997,6.873396295864222,11.837500000000002,-0.39859516680187645,6.0,0.0,0.34700000000000003,12.03,-11.95,0.855,0.21520000000000003,4.015427872593405,3.895,-0.6748372154841721,23.0,0.5,-3.7051999999999996,19.61,-19.61,-5.8,-0.14489999999999992,11.647150078881957,15.3175,0.38426255351875926,28.0,0.28,1.0
11.3408,19.61,-3.61,12.115,0.4402999999999999,6.977199965602248,11.872499999999999,-0.44056614787500703,8.0,0.0,0.6686,12.03,-11.95,0.98,-0.011499999999999977,4.045472536058056,3.2425,-0.49196156359236276,25.0,0.18,-5.0864,19.61,-19.61,-6.74,-0.7015,11.351538003283961,19.445,0.4243460436173456,28.0,0.0,1.0
10.4968,19.61,-4.55,12.059999999999999,0.5206999999999999,7.317428357011772,11.835,-0.46213637751910375,12.0,0.0,-0.47679999999999984,9.13,-11.95,-0.32499999999999996,0.38220000000000004,3.887385465836904,4.245,-0.7832528714216992,25.0,0.18,-4.1994,19.61,-19.61,-4.305,-0.9824999999999998,11.420356808786666,15.879999999999999,0.2999267390413519,29.0,0.28,1.0
